Category,img,title,datetime,body,keywords
Aviation,/images/59eedc51bb068d0d3a45156a82309117d55bc298-696x388.jpg,Ukrainian Air Force awards contract to Antonov for three new AN-178 aircraft,29-Dec-20,Ukrainian Air Force has awarded the Antonov company a contract to developed and delivery three new AN-178T military transport planes.,"Ukrainian,Air,Force,awards,contract,to,Antonov,for,three,new,AN-178,aircraft"
Aviation,/images/4291621-696x461.jpg,Lockheed Martin delivers 123rd F-35 fighter jet of the year,29-Dec-20,Pentagon’s No.1 weapons supplier Lockheed Martin Corp. has announced that last week delivered the 123rd F-35 stealth warplane of the year.,"Lockheed,Martin,delivers,123rd,F-35,fighter,jet,of,the,year"
Maritime Security,/images/6318885-696x446.jpg,L3Harris gets $496 contract for next-generation jammer,29-Dec-20,"U.S. Defense contractor L3Harris Technologies has announced that U.S. Navy has awarded the company a five-year, $496 million contract to deliver the next-generation external...","L3Harris,gets,$496,contract,for,next-generation,jammer"
Maritime Security,/images/EpbHSzLUwAMPWnH-696x463.jpg,German Navy receives new underwater drone from Huntington Ingalls Industries,29-Dec-20,"Last week, America’s largest military shipbuilding company Huntington Ingalls Industries has announced that it delivered new REMUS 100 Unmanned Underwater Vehicles (UUVs) to the...","German,Navy,receives,new,underwater,drone,from,Huntington,Ingalls,Industries"
Army,/images/84726205_749440082250850_2527665356948897792_o-696x392.jpg,South Korea’s army awards amphibious bridging vehicle contract to Hanwha Defense,29-Dec-20,"Republic of Korea Armed Forces, also known as the ROK Armed Forces, reportedly has awarded the multi-million dollar contract to Hanwha Defense to supply...","South,Korea’s,army,awards,amphibious,bridging,vehicle,contract,to,Hanwha,Defense"
Aviation,/images/127174971_2809090552667016_1620784549603333903_o-696x464.jpg,Ukraine begins production of rotor blades for Mil family helicopters,28-Dec-20,The Ministry for Strategic Industries of Ukraine has announced that the Ukrainian defense industry achieved a significant milestone this month as part of an...,"Ukraine,begins,production,of,rotor,blades,for,Mil,family,helicopters"
Aviation,/images/4291621-696x461.jpg,Royal Australian Air Force declares the F-35 ‘combat ready’,28-Dec-20,"On 28 December, the Royal Australian Air Force has announced that their F-35A Lightning II fleet was declared ‘combat ready’.","Royal,Australian,Air,Force,declares,the,F-35,‘combat,ready’"
Army,/images/59eedc51bb068d0d3a45156a82309117d55bc298-696x388.jpg,U.S. Forces Korea receives first shipment of COVID-19 vaccines,28-Dec-20,"The U.S. Department of Defense has reported that the first shipment of COVID-19 vaccines for U.S. Forces Korea has arrived at Osan Air Base,...","U.S.,Forces,Korea,receives,first,shipment,of,COVID-19,vaccines"
Army,/images/51OLPE8ZveL._AC_SL1001_-696x387.jpg,Polish Army receives first PILICA anti-aircraft missile system,19-Dec-20,Poland’s minister of national defense Mariusz Błaszczak said Friday that the first PILICA anti-air missile and artillery system (PSR-A) has been officially handed over to...,"Polish,Army,receives,first,PILICA,anti-aircraft,missile,system"
Maritime Security,/images/84726205_749440082250850_2527665356948897792_o-696x392.jpg,U.S. Navy awards contract to Ultra for NIXIE torpedo countermeasure system,18-Dec-20,The U.S. Department of Defense has contracted Ultra to supply the Nixie torpedo countermeasure system to the U.S. Navy..,"U.S.,Navy,awards,contract,to,Ultra,for,NIXIE,torpedo,countermeasure,system"
Army,/images/6454444-696x536.jpg,"Pentagon confirms Honeywell will get $1,1 billion for Abrams tank engines",18-Dec-20,"The Pentagon has confirmed that industrial conglomerate Honeywell is to receive $1,1 billion for the Automotive Gas Turbine 1500 engine program.","Pentagon,confirms,Honeywell,will,get,$1,1,billion,for,Abrams,tank,engines"
Army,/images/6318885-696x446.jpg,Russia reportedly conducts test of anti-satellite missile,17-Dec-20,The United States Space Command has reported that Russia has conducted a test of a direct-ascent anti-satellite (DA-ASAT) missile.,"Russia,reportedly,conducts,test,of,anti-satellite,missile"
Army,/images/Hypersonics-Testing-by-the-Numbers-masthead-696x468.jpg,GM Defense building new facility for production of Infantry Squad Vehicle,17-Dec-20,"GM Defense, a General Motors division launched in 2017, announced that it has started renovations of an existing GM building to support the production...","GM,Defense,building,new,facility,for,production,of,Infantry,Squad,Vehicle"
Army,/images/190507-n-qk571b-696x391.jpg,BAE Systems reveals its design of U.S. Army’s future light tank,17-Dec-20,"Global defense company BAE Systems revealed the design of a highly agile, armor-protected platform developed under the U.S. Army's Mobile Protected Firepower (MPF) program.","BAE,Systems,reveals,its,design,of,U.S.,Army’s,future,light,tank"
Aviation,/images/59eedc51bb068d0d3a45156a82309117d55bc298-696x388.jpg,U.S. Air Force for the first time flew AI as aircrew member,17-Dec-20,"For the first time, an artificial intelligence, or also known as AI, controlled the sensor and navigation systems of a real military aircraft during...","U.S.,Air,Force,for,the,first,time,flew,AI,as,aircrew,member"
Army,/images/WBD4NZwQ4-1-696x440.jpg,South Korea becomes world’s tenth largest arms exporter,17-Dec-20,"South Korea is becoming a top arms dealer, joining the ranks of the U.S., Russia, Germany and France, according to an annual government report...","South,Korea,becomes,world’s,tenth,largest,arms,exporter"
Army,/images/EnArJ9IXEAItcGi-696x451.jpg,Russia reportedly conducts test of anti-satellite missile,17-Dec-20,The United States Space Command has reported that Russia has conducted a test of a direct-ascent anti-satellite (DA-ASAT) missile.,"Russia,reportedly,conducts,test,of,anti-satellite,missile"
Army,/images/VICTA_16-Dec-2020_credit-Subsea-Craft-696x358.jpg,GM Defense building new facility for production of Infantry Squad Vehicle,17-Dec-20,"GM Defense, a General Motors division launched in 2017, announced that it has started renovations of an existing GM building to support the production...","GM,Defense,building,new,facility,for,production,of,Infantry,Squad,Vehicle"
Army,/images/IMG_3928-3-696x438.jpg,BAE Systems reveals its design of U.S. Army’s future light tank,17-Dec-20,"Global defense company BAE Systems revealed the design of a highly agile, armor-protected platform developed under the U.S. Army's Mobile Protected Firepower (MPF) program.","BAE,Systems,reveals,its,design,of,U.S.,Army’s,future,light,tank"
Aviation,/images/6434847-696x446.jpg,U.S. Air Force for the first time flew AI as aircrew member,17-Dec-20,"For the first time, an artificial intelligence, or also known as AI, controlled the sensor and navigation systems of a real military aircraft during...","U.S.,Air,Force,for,the,first,time,flew,AI,as,aircrew,member"
Army,/images/4291621-696x461.jpg,South Korea becomes world’s tenth largest arms exporter,17-Dec-20,"South Korea is becoming a top arms dealer, joining the ranks of the U.S., Russia, Germany and France, according to an annual government report...","South,Korea,becomes,world’s,tenth,largest,arms,exporter"
Maritime Security,/images/6454444-696x536.jpg,South Korea set to order MH-60R SeaHawk helicopters,17-Dec-20,"On Tuesday, the South Korean Defense Acquisition and Program Administration (DAPA) has reported that the MH-60R SeaHawk helicopter was chosen as the winner of...","South,Korea,set,to,order,MH-60R,SeaHawk,helicopters"
Maritime Security,/images/m3-2-696x464.jpg,Subsea Craft and BAR Technologies partners to build futuristic hybrid submarine,17-Dec-20,BAR Technologies that it has partnered with British company SubSea Craft Ltd in the design and build of VICTA - the world’s most advanced diver...,"Subsea,Craft,and,BAR,Technologies,partners,to,build,futuristic,hybrid,submarine"
Army,/images/6454444-696x536.jpg,Russia deploys new Avangard nuclear boost-glide vehicle into ‘combat duty’,16-Dec-20,"On Wednesday, the Ministry of Defense of the Russian Federation has reported that a next hypersonic missile system outfitted with the Avangard nuclear boost-glide...","Russia,deploys,new,Avangard,nuclear,boost-glide,vehicle,into,‘combat,duty’"
